institution_code,institution_name,short_name,institution_type,institution_group,address,postal_code,province_code,province_name,regency_code,regency_name,district_name,latitude,longitude,institution_status,accreditation,website,program_count,tuition_range,founding_date
043300,Sekolah Tinggi Ilmu Bahasa Asing Nusa Mandiri,-,Sekolah Tinggi,PTS,Jalan Ir H Juanda No 39,15419,36,Banten,3603,Kab. Tangerang,,,,Alih Bentuk,,nusamandiri.ac.id,2,,2001-05-02
213161,STAI Bunga Bangsa Cirebon,STAI BBC,,PTA,Jalan Widarasari III Tuparev Cirebon,45153,32,Jawa Barat,3209,Kab. Cirebon,,,,Alih Bentuk,,www.staibbc.ac.id,7,,2003-04-04
021037,Universitas Multi Data Palembang,Universitas MDP,Universitas,PTS,,,16,Sumatera Selatan,1671,Kota Palembang,,-2.9737126,104.7640425,Aktif,Baik Sekali,https://mdp.ac.id/,11,500.000 - 16.000.000,2021-04-09
023086,STMIK Teknokrat,STMIK Teknokrat,,PTS,Jalan ZA Pagar Alam No 9-11 Labuhan Ratu,35142,18,Lampung,1871,Kota Bandar Lampung,Kec. Kedaton,,,Alih Bentuk,,stmik.teknokrat.ac.id,2,,2001-02-08
073041,STKIP PGRI Nganjuk,STKIP PGRI NGANJUK,,PTS,Jl Abdulrahman Saleh No 21,64411,35,Jawa Timur,3518,Kab. Nganjuk,Kec. Nganjuk,7.35572,111.53465,Alih Bentuk,Baik,www.stkipnganjuk.ac.id,8,4.000.000 - 40.000.000,1978-11-03
041150,Universitas Ekuitas Indonesia,Ekuitas University,Universitas,PTS,,,32,Jawa Barat,3273,Kota Bandung,,-6.8984271,107.6376417,Aktif,,www.ekuitas.ac.id,9,,2025-08-12
081039,Universitas Bali Dwipa,UBAD,Universitas,PTS,Jl. Pulau Flores No. 5,,51,Bali,5171,Kota Denpasar,Kec. Denpasar Barat,-8.6753284,115.2093114,Aktif,Baik,www.balidwipa.ac.id,10,75.000 - 6.100.000,2018-07-17
045067,Politeknik Siber Cerdika Internasional,Poltek SCI,Politeknik,PTS,,,32,Jawa Barat,3209,Kab. Cirebon,,-6.8485437,108.5571098,Aktif,Baik,https://www.polteksci.ac.id,4,,2023-01-12
233344,Sekolah Tinggi Teologi Baptis Kalvari Jakarta,STTBK,Sekolah Tinggi,PTA,,,31,D.K.I. Jakarta,3171,Kota Jakarta Pusat,,-6.1578115,106.8386748,Aktif,Baik,https://www.sttbaptiskalvari.com/,4,1.000.000 - 5.975.000,2014-12-31
163018,Sekolah Tinggi Ilmu Administrasi Bina Taruna,,Sekolah Tinggi,PTS,Jl Jaksa Agung Suprapto No 40,96115,75,Gorontalo,7571,Kota Gorontalo,,,,Alih Bentuk,,stia.binataruna.ac.id,3,,1999-09-22
021038,Universitas Nurul Huda,UNUHA,Universitas,PTS,,,16,Sumatera Selatan,1608,Kab. Ogan Komering Ulu Timur,,-4.2516808,104.4567928,Aktif,Terakreditasi,https://unuha.ac.id/,11,600.000 - 6.520.000,2021-11-03
213022,"STIES Indonesia Purwakarta, Jawa Barat",STIES-IP,,PTA,jl. Veteran no 150-152 Ciseureuh Purwakarta.,41172,32,Jawa Barat,3214,Kab. Purwakarta,,6.523026,107.448828,Aktif,Baik,https://sties-purwakarta.ac.id,3,,2010-06-10
021032,Universitas Bina Insan,UNIV.BI,Universitas,PTS,,,16,Sumatera Selatan,1673,Kota Lubuk Linggau,,-3.2739777,102.9655794,Aktif,Baik,univbinainsan.ac.id,9,450.000 - 750.000.000,2019-03-20
143003,STFT Gki Izaak Samuel Kijne Jayapura,STFT GKI I.S.KIJNE,,PTS,Jalan Raya Sentani No 37 Padang Bulan-Abepura,99351,91,Papua,9171,Kota Jayapura,,-2.608251,140.656825,Aktif,Baik,https://stftkijne.ac.id,4,1.200.000 - 28.150.000,1954-09-21
013214,Sekolah Tinggi Ilmu Kesehatan Darmo,,Sekolah Tinggi,PTS,,,12,Sumatera Utara,1271,Kota Medan,,3.6383899,98.926436,Aktif,Baik,,5,3.000.000 - 4.000.000,2022-04-20
032021,Institut Teknologi Calvin,CIT,Institut,PTS,,,31,D.K.I. Jakarta,3171,Kota Jakarta Pusat,,-6.1526927,106.8426566,Aktif,Baik,calvin.ac.id,8,,2018-10-05
163014,STKIP PGRI Manado,,,PTS,Jalan Ahmad Yani No 19,95111,71,Sulawesi Utara,7171,Kota Manado,,,,Aktif,Baik,,3,,1993-05-01
142003,Institut Teknologi dan Bisnis Karya Pembangunan Papua,ITBKPP,Institut,PTS,,,91,Papua,9103,Kab. Jayapura,,-2.5639377,140.5166326,Aktif,Baik,http://itbkpp.ac.id,3,300.000 - 500.000,2021-09-22
034138,Akademi Sekretari Dan Manajemen Pitaloka,,Akademi,PTS,Jalan Duren Tiga No 12,12760,31,D.K.I. Jakarta,3174,Kota Jakarta Selatan,Kec. Pancoran,,,Tutup,,,1,,2001-02-08
073098,Sekolah Tinggi Ilmu Ekonomi Nu Trate,STIE NU TRATE GRESIK,Sekolah Tinggi,PTS,Jl KH Abdul Karim No 60 Gresik,61114,35,Jawa Timur,3525,Kab. Gresik,Kec. Gresik,-7.1561773,112.652069,Aktif,Baik,http://www.stienugresik.ac.id,2,2.400.000 - 5.375.000,1999-04-07
103139,STIE Nagoya Indonesia,STIENI,,PTS,,,21,Kepulauan Riau,2171,Kota Batam,,1.0469008,103.9809568,Alih Bentuk,,http://www.stie-nagoya-indonesia.com/,2,,2014-07-24
072042,Institut Teknologi dan Sains Mandala,ITS Mandala,Institut,PTS,,,35,Jawa Timur,3509,Kab. Jember,,-8.1709004,113.7101778,Aktif,Baik Sekali,www.itsm.ac.id,7,4.200.000 - 5.000.000,2022-07-12
046003,Akademi Komunitas Presiden,,Akademi Komunitas,PTS,,,32,Jawa Barat,3216,Kab. Bekasi,,,,Tutup,,,2,2.500.000 - 2.500.000,2015-12-24
213427,Sekolah Tinggi Agama Islam YASNI Muara Bungo,STAI YASNI MUARA BUN,Sekolah Tinggi,PTA,Jl. Lintas Sumatera KM.4 Sungai Binjai Kec. Bathin III Kab. Bungo Jambi,37216,15,Jambi,1508,Kab. Bungo,,-1.44762,102.121108,Alih Bentuk,,www.staiyasnibungo.ac.id,7,,1987-11-29
111024,Universitas Muhammadiyah Kalimantan Timur,UMKT,Universitas,PTS,Jalan Ir H Juanda No 15,,64,Kalimantan Timur,6472,Kota Samarinda,Kec. Samarinda Ulu,-0.4749389,117.1388992,Aktif,Baik Sekali,www.umkt.ac.id,26,400.000 - 11.585.000,2017-08-28
005004,Politeknik Negeri Bandung,POLBAN,Politeknik,PTN,Jln.Gegerkalong Hilir Desa Ciwaruga,40559,32,Jawa Barat,3273,Kota Bandung,,-6.872759,107.573916,Aktif,Unggul,www.polban.ac.id,45,250.000 - 15.750.000,1979-01-27
061044,Universitas Ngudi Waluyo,UNW,Universitas,PTS,Jalan Gedong Songo Candirejo,,33,Jawa Tengah,3322,Kab. Semarang,Kec. Ungaran Barat,-7.1512287,110.4088432,Aktif,Baik Sekali,unw.ac.id,26,1.150.000 - 30.450.000,2016-08-28
043274,Sekolah Tinggi Bahasa Asing Buddhi,STBA Buddhi,Sekolah Tinggi,PTS,Jalan Imam Bonjol No 41 Karawaci Tangerang,15115,36,Banten,3671,Kota Tangerang,,,,Alih Bentuk,,stba.buddhi.ac.id,2,,1994-09-28
144013,Akademi Teknologi Laboratorium Medik Papua Sehat Enaimo Anigou,Akademi TLM Pasean,Akademi,PTS,,,91,Papua,9171,Kota Jayapura,,-2.5348878,140.7121388,Aktif,Terakreditasi Sementara,akademitlmpasean.my.id,1,4.000.000 - 4.000.000,2024-09-06
134033,Akademi Kebidanan Bunga Bangsa Idi,,Akademi,PTS,Idi,12345,11,Aceh,1103,Kab. Aceh Timur,,,,Alih Bentuk,,,1,,2008-09-09
104125,Akademi Kebidanan Sumatera Barat,Akbid Sumbar,Akademi,PTS,Jln. Sungai Abang Kecamatan Lubuk Alung Kabupaten Padang Pariaman,25581,13,Sumatera Barat,1305,Kab. Padang Pariaman,,,,Alih Bentuk,,http://akbidsumbar.ac.id,1,,2008-08-28
203022,STAIN Ternate,,,PTA,,,82,Maluku Utara,8271,Kota Ternate,,,,Alih Bentuk,,www.iain-ternate.ac.id,19,,2009-01-01
103097,STMIK Dharmasraya,STMIK DHARMASRAYA,,PTS,Jalan Lintas Sumatera KM 18 Kecamatan Koto Baru Kabupaten Dharmasraya,27581,13,Sumatera Barat,,Kab. Dharmas Raya,,,,Alih Bentuk,,www.stmikdharmasraya.ac.id,3,,2008-07-03
103036,Sekolah Tinggi Ilmu Ekonomi Indragiri Rengat,STIE Indragiri,Sekolah Tinggi,PTS,Jalan R Soeprapto No 14,29318,14,Riau,1402,Kab. Indragiri Hulu,Kec. Rengat,-0.3799435,102.5486377,Alih Bentuk,Baik,www.stieindragiri.ac.id,2,,1999-07-28
164019,Akademi Kebidanan Trinita Manado,,Akademi,PTS,JL EL-MANIBANG NO 27 MALALAYANG MANADO,95163,71,Sulawesi Utara,7171,Kota Manado,,,,Alih Bentuk,,www.akbid-trinitamanado.ac.id,1,,2008-09-22
033207,Sekolah Tinggi Musik Basuki Indonesia,STMBI,Sekolah Tinggi,PTS,Basuki Building Jl. Pulo Lentut No.2,13210,31,D.K.I. Jakarta,,Tidak Diisi,,,,Alih Bentuk,,www.imimusik.com,2,,2013-03-20
064162,Akademi Kebidanan Pemerintah Kabupaten Kudus,,Akademi,PTS,Jl. Lukmonohadi No. 19 Kudus,59348,33,Jawa Tengah,3319,Kab. Kudus,,,,Tutup,,,1,,2012-10-10
,Akademi Kesehatan Lingkungan Pemprov Sumatera Selatan,,Akademi,PTK,,,16,Sumatera Selatan,1671,Kota Palembang,,,,Alih Bentuk,,,1,,
,Akademi Kebidanan Kamanre Palopo,,Akademi,PTS,,,73,Sulawesi Selatan,7373,Kota Palopo,,,,Aktif,,,1,,
213099,STAI Barumun Raya Sibuhuan,STAIBR,,PTA,"Jl. Ki Hajar Dewantara No. 66 B Sibuhuan, Padang Lawas",22763,12,Sumatera Utara,1220,Kab. Padang Lawas utara,,,,Aktif,Baik,stai-br.ac.id,4,502.000 - 1.004.000,2008-09-04
093154,STKIP Darud Da wah Wal Irsyad Pinrang,STKIP DDI PINRANG,,PTS,Jalan Andreas Wahani No 27,91212,73,Sulawesi Selatan,7315,Kab. Pinrang,,,,Aktif,Baik,https://stkipddipinrang.ac.id/,2,2.400.000 - 4.000.000,2006-06-17
033219,Sekolah Tinggi Ilmu Kesehatan IKIFA,STIKes IKIFA,Sekolah Tinggi,PTS,,,31,D.K.I. Jakarta,3175,Kota Jakarta Timur,Kec. Duren Sawit,106.920892,-6.215904,Aktif,Baik,www.ikifa.ac.id,2,9.000.000 - 18.600.000,2020-06-24
201040,Universitas Islam Negeri Sunan Kudus,,Universitas,PTA,Jl. Conge Ngembalrejo Bae Kudus,59322,33,Jawa Tengah,3319,Kab. Kudus,,,,Aktif,,,34,,2025-05-08
034151,Akademi Pariwisata Bunda Mulia,AKPAR BUNDA MULIA,Akademi,PTS,Jalan Lodan Raya No 2,14430,31,D.K.I. Jakarta,3172,Kota Jakarta Utara,,,,Tutup,,www.bundamulia.ac.id,1,,1997-06-21
163012,Sekolah Tinggi Ilmu Pertanian Mujahidin Toli-toli,STIP Mujahidin,Sekolah Tinggi,PTS,Jalan Dr Sam Ratulangi No 51,94515,72,Sulawesi Tengah,7204,Kab. Toli-Toli,,1.04532,120.83697,Aktif,Baik,stip.ac.id,3,2.400.000 - 3.200.000,1993-11-23
133039,Sekolah Tinggi Ilmu Ekonomi Kebangsaan Bireuen,STIE Kebangsaan,Sekolah Tinggi,PTS,"Jl. Banda Aceh - Medan, Blang Bladeh",12345,11,Aceh,1111,Kab. Bireuen,,,,Alih Bentuk,,www.stie.ptkb-aceh.ac.id,4,,2008-06-12
213754,Sekolah Tinggi Agama Islam Al-Kifayah Riau,STAI AL-KIFAYAH RIAU,Sekolah Tinggi,PTA,,,14,Riau,1471,Kota Pekanbaru,,0.480639,101.346745,Aktif,Baik Sekali,https://www.alkifayahriau.ac.id/,9,100.000 - 8.050.000,2022-09-15
385004,Politeknik Pariwisata Palembang,Poltekpar Palembang,Politeknik,PTKL,Jl. Sapta Pesona No. 10 Kelurahan Silaberanti Kecamatan Seberang Ulu 1 Palembang,30267,16,Sumatera Selatan,1671,Kota Palembang,,-3.013144,104.788141,Aktif,Baik Sekali,www.poltekpar-palembang.ac.id,4,250.000 - 2.050.000,2018-03-19
044045,AMIK Bumi Nusantara,AMIK BUMI NUSANTARA,,PTS,Cideng Raya No 181 Ds Kertawinangun-Kec. Kedawung,45153,32,Jawa Barat,3209,Kab. Cirebon,,-6.717033,108.534628,Aktif,Baik,amikbnc.net,2,2.400.000 - 2.400.000,1990-07-27
103053,Sekolah Tinggi Ilmu Pertanian Swarna Dwipa,Sekolah Tinggi Ilmu,Sekolah Tinggi,PTS,Jalan Gatot Subroto KM 7 Jake Teluk Kuantan,29562,14,Riau,1409,Kab. Kuantan Singingi,,,,Alih Bentuk,,stipus.com,3,,2000-06-30
425017,Politeknik Perkeretaapian Indonesia Madiun,PPI Madiun,Politeknik,PTKL,,,35,Jawa Timur,3577,Kota Madiun,Kec. Manguharjo,-7.636964,111.5004428,Aktif,Baik Sekali,https://ppi.ac.id,4,4.000.000 - 11.000.000,2018-12-18
344051,Akademi Perawat Kesehatan Provinsi NTB,Akper NTB,Akademi,PTKL,"JL. SOEKARNO HATTA, SAKRA, LOMBOK TIMUR, NTB",83671,52,Nusa Tenggara Barat,5203,Kab. Lombok Timur,,,,Aktif,,www.akperkesprovntb.ac.id,1,,2012-10-10
153019,Sekolah Tinggi Keguruan dan Ilmu Pendidikan Citra Bakti,STKIP CITRA BAKTI,Sekolah Tinggi,PTS,"Jl. Bajawa-Ende, Malanuza, Mataloko, Kab. Ngada, Flores-NTT",86461,53,Nusa Tenggara Timur,5309,Kab. Ngada,Kec. Golewa,-8.8133083,121.0872817,Aktif,Baik,www.citrabakti.ac.id,6,1.370.000 - 4.950.000,2011-07-07
021029,Universitas Mitra Indonesia,UMITRA,Universitas,PTS,,,18,Lampung,1871,Kota Bandar Lampung,Kec. Rajabasa,-5.3730985,105.2414636,Aktif,Baik Sekali,www.umitra.ac.id,17,3.180.000 - 6.000.000,2018-06-21
213586,Sekolah Tinggi Ilmu Dakwah Raudlatul Iman Sumenep Jawa Timur,STIDAR,Sekolah Tinggi,PTA,,,35,Jawa Timur,3529,Kab. Sumenep,,-7.022687,113.68902,Aktif,Baik,www.stidar.ac.id,2,,2016-08-25
212063,Institut Agama Islam Azmi Kotamobagu Sulawesi Utara,,Institut,PTA,Jl. Piere Tendean Gang Bohusami,,71,Sulawesi Utara,7174,Kota. Kotamobagu,Kec. Kotamobagu Barat,,,Alih Kelola,,,6,,2016-04-04
092032,Institut Teknologi Bisnis dan Kesehatan Muhammadiyah Muna Barat,ITBKM Muna Barat,Institut,PTS,,,74,Sulawesi Tenggara,7413,Kab. Muna Barat,,-4.8070489,122.4437857,Aktif,Baik,,3,2.400.000 - 2.400.000,2022-03-07
213671,Sekolah Tinggi Ilmu Tarbiyah Lakbok,STIT LAKBOK,Sekolah Tinggi,PTA,"Jl. Pengairan Dsn Kedungturi RT 005 RW 002 Desa Baregbeg, Kecamatan Lakbok, Kabupaten Ciamis, Provinsi Jawa Barat",46385,32,Jawa Barat,3207,Kab. Ciamis,Kec. Lakbok,-7.3691126,108.6774526,Aktif,Baik,stitlakbok.ac.id,2,1.400.000 - 2.400.000,2019-05-22
213807,Sekolah Tinggi Ilmu Tarbiyah Al-Idrus Kukar,,Sekolah Tinggi,PTA,"Jalan Naga, Gang Mufakat RT. 36, Kelurahan Timbau, Kecamatan Tenggarong",75513,64,Kalimantan Timur,6402,Kab. Kutai Kartanegara,,,,Aktif,,,2,,2025-03-26
213206,STAI Ar-Rosyid Surabaya,STAI AR-ROSYID,,PTA,Jl. Lontar 129 Sambi Kerep Surabaya,60216,35,Jawa Timur,3578,Kota Surabaya,,-7.284144,112.668695,Aktif,Baik,http://staiarrosyid.ac.id,5,2.500.000 - 2.500.000,2004-07-02
233064,Sekolah Tinggi Teologi Dian Halmahera,STT DIAN HALMAHERA,Sekolah Tinggi,PTA,"Jl, Ir. Soekarno Desa Akediri Kec. Jaiolo",,82,Maluku Utara,8203,Kab. halmahera Utara,,,,Aktif,,,1,,
075021,Politeknik Semen Indonesia,PoltekSI,Politeknik,PTS,,,35,Jawa Timur,3525,Kab. Gresik,,-7.1719203,112.6433702,Aktif,Baik,https://polteksi.ac.id/,4,1.200.000 - 4.200.000,2022-04-06
023043,Sekolah Tinggi Ilmu Ekonomi Dwi Sakti Baturaja,STIE DS,Sekolah Tinggi,PTS,Jln. Prof. Dr. Hamka No. 541-A Baturaja.,32111,16,Sumatera Selatan,1601,Kab. Ogan Komering Ulu,,-4.120493,104.180084,Aktif,Baik,www.stiedwisakti.ac.id,2,100.000 - 26.700.000,1998-12-14
012017,Institut Teknologi Sawit Indonesia,ITSI,Institut,PTS,Jalan Willem Iskandar (Jl. Pancing) Kelurahan Medan Estate Kecamatan Percut Sei Tuan,20222,12,Sumatera Utara,1271,Kota Medan,,3.6157474,98.7103236,Aktif,Baik,www.itsi.ac.id,6,750.000 - 27.500.000,2021-12-15
161024,Universitas Parna Raya,UNIPAR,Universitas,PTS,,,71,Sulawesi Utara,7171,Kota Manado,,1.4899527,124.8394999,Aktif,Baik,https://parnaraya.ac.id,9,250.000 - 4.290.000,2020-08-05
094029,Akademi Sekretari Manajemen Indonesia Lpi Makassar,,Akademi,PTS,Jalan Bung No 30 Tamalanrea,90245,73,Sulawesi Selatan,7371,Kota Makassar,,,,Aktif,,makassar,2,,1998-10-07
243008,STAH Negeri Mpu Kuturan Singaraja Bali,,,PTA,Jl. Kresna Gg. III No. 2 B Singaraja,81112,51,Bali,5108,Kab. Buleleng,,-8.115832,115.108667,Alih Bentuk,Baik Sekali,stahnmpukuturan.ac.id,22,600.000 - 2.500.000,2016-03-21
001006,Universitas Andalas,Unand,Universitas,PTN,Kampus Universitas Andalas Limau Manis,25163,13,Sumatera Barat,1371,Kota Padang,Kec. Pauh,-0.9155005,100.4578195,Aktif,Unggul,www.unand.ac.id,207,200.000 - 45.000.000,1956-09-13
172022,Institut Az Zuhra,IAZ,Institut,,,,14,Riau,1471,Kota Pekanbaru,,0.4928475,101.3746079,Aktif,Terakreditasi,www.institutazzuhra.ac.id,7,100.000 - 3.600.000,2023-07-14
075023,Politeknik Kesehatan Jember,POLTEKES JEMBER,Politeknik,PTS,,,35,Jawa Timur,3509,Kab. Jember,,-8.1419136,113.7363468,Aktif,Baik,poltekesjember.ac.id,3,4.125.000 - 6.550.000,2023-05-31
443001,Sekolah Tinggi Penyuluhan Pertanian (STPP) Magelang,STPP MAGELANG,Sekolah Tinggi,PTKL,"Jl. Magelang - Kopeng Km. 7 Kotak Pos 152, Magelang, Jawa Tengah, Indonesia.",56101,33,Jawa Tengah,3308,Kab. Magelang,,-7.4659936,110.25415,Aktif,,http://stppmagelang.ac.id,2,,
055003,Politeknik PPKP,,Politeknik,PTS,"Jalan Kaliurang KM 4,5 Gg Kinanti",55281,34,D.I. Yogyakarta,,Tidak Diisi,,,,Tutup,,www.ppkp.ac.id,21,,2000-08-19
032020,Institut Transportasi dan Logistik Trisakti,ITL Trisakti,Institut,PTS,"Jalan IPN No 2, Cipinang Besar",,31,D.K.I. Jakarta,3175,Kota Jakarta Timur,Kec. Pulo Gadung,-6.2309797,106.8776904,Aktif,Baik Sekali,http://itltrisakti.ac.id/,11,9.075.030 - 39.600.000,2018-02-07
083103,Sekolah Tinggi Pariwisata Soromandi Bima,STIPAR SOROMANDIBIMA,Sekolah Tinggi,PTS,Jl. Lintas Soromandi Desa Punti,,52,Nusa Tenggara Barat,5206,Kab. Bima,Kec. Soromandi,-8.4186685,118.6889358,Aktif,Baik,stiparsoromandibima.ac.id,1,82 - 3.500.000,2018-07-17
111022,Universitas Nahdlatul Ulama Kalimantan Barat,UNU KALBAR,Universitas,PTS,Jl. KH. Ahmad Dahlan No. 72,,61,Kalimantan Barat,,Kab. Kuburaya,,-0.1104343,109.3729434,Aktif,Baik Sekali,www.unukalbar.ac.id,10,1.500.000 - 24.000.000,2014-10-17
073159,STIKES Hutama Abdi Husada Tulungagung,STIKES Tulungagung,,PTS,Jl Dr Wahidin Sudiro Husodo,66224,35,Jawa Timur,3504,Kab. Tulungagung,,-8.055597,111.907757,Aktif,Baik Sekali,www.stikestulungagung.ac.id,9,3.500.000 - 45.000.000,2009-08-03
405007,Poltekkes Kemenkes Palembang,Polkesbang,,PTKL,"Jl.Jenderal Sudirman Km.3,5 Komplek RSMH No.1365 samping masjid Ash-Shofa Palem",30126,16,Sumatera Selatan,1671,Kota Palembang,,-2.968327,104.751613,Aktif,Baik Sekali,http://poltekkespalembang.ac.id/,21,3.100.000 - 9.000.000,2001-04-16
121004,Universitas Nuku,UNNU,Universitas,PTS,Jl Pahlawan Nuku No 1 Soasio Halmahera Tengah,97812,82,Maluku Utara,8272,Kota Tidore Kepulauan,,0.6618786,127.4455552,Aktif,Baik,tidore@univ-nuku.ac.id,10,750.000 - 1.500.000,2001-09-28
014002,Akademi Bank dan Keuangan Swadaya,AKUBANK SWADAYA,Akademi,PTS,Jln. Yose Rizal No. 3-A,20214,12,Sumatera Utara,1271,Kota Medan,Kec. Medan Kota,,,Tutup,,,1,,1958-10-10
104058,Akademi Bahasa Asing Nurdin Hamzah,,Akademi,PTS,Jalan Soemantri Brojonegoro Lr Mawar II,36133,15,Jambi,,Tidak Diisi,,,,Tutup,,,1,,2001-09-28
071056,Universitas Hang Tuah,UHT,Universitas,PTS,Jl Arief Rachman Hakim No 150,60111,35,Jawa Timur,3578,Kota Surabaya,Kec. Sukolilo,-7.293378,112.792538,Aktif,Unggul,www.hangtuah.ac.id,35,100.000 - 146.800.000,1987-05-12
233195,STT Oikumene Injili Sidikalang,STTOI Sidikalang,,PTA,"Jl. Rimo Bunga No. 19, Panji Bako-Sidikalang-Dairi-Sumatera Utara",22212,12,Sumatera Utara,1211,Kab. Dairi,,,,Aktif,Baik,stt-oi.ac.id,4,,
032008,Institut Sains Dan Teknologi Al-Kamal,ISTA,Institut,PTS,"Jl. Raya Al-Kamal No. 2, Kedoya Selatan, Kebon Jeruk, Jakarta Barat",11520,31,D.K.I. Jakarta,3173,Kota Jakarta Barat,Kec. Kebon Jeruk,-6.1866596,106.7600729,Aktif,Baik,www.ista.ac.id,8,,1989-04-22
213451,STIT Syekhsaman Al-Hasan,STIT Syekh saman Al-,,PTA,Jl. Cinta maju -Kong Bur Kampung Cinta Maju,24653,11,Aceh,1113,Kab. Gayo Lues,,3.994397,97.338921,Aktif,,,1,,2013-02-21
163015,Sekolah Tinggi Ilmu Ekonomi Pioner Manado,STIE Pioner Manado,Sekolah Tinggi,PTS,JL. YOS SUDARSO NO. 33B KELURAHAN PAAL II. KECAMATAN PAAL II,95129,71,Sulawesi Utara,7171,Kota Manado,,1.4897161,124.8613197,Aktif,Baik,www.stiepionermanado.ac.id,2,1.500.000 - 3.500.000,1996-06-16
201021,Universitas Islam Negeri Raden Mas Said Surakarta,UIN SAID SURAKARTA,Universitas,PTA,Jalan Pandawa Pucangan Kecamatan Kartasura Kabupaten Sukoharjo Propinsi Jawa Tengah No. telp (0271)781516 Fax: (0271)782774,57168,33,Jawa Tengah,3311,Kab. Sukoharjo,,-7.5586496,110.7347235,Aktif,Unggul,https://uinsaid.ac.id,48,200.000 - 17.000.000,2021-05-11
035023,Politeknik Kartini Jakarta,PKJ,Politeknik,PTS,,,31,D.K.I. Jakarta,3171,Kota Jakarta Pusat,,-6.2411405,106.7712702,Aktif,Baik,www.poltekkartinijakarta.ac.id,5,8.250.000 - 8.250.000,2022-03-11
213411,"STAI Sulthan M. Syafi`uddin Sambas, Kalimantan Barat",STAI Sambas,,PTA,"Jl. Raya Sejangkung, No.126, Kawasan Pendidikan, Desa Sebayan, Kecamatan Sambas",79462,61,Kalimantan Barat,6101,Kab. Sambas,,,,Alih Bentuk,,www.iaisambas.ac.id,11,,2006-06-22
073051,STKIP PGRI Sumenep,STKIP PGRI Sumenep,,PTS,"Jl Trunojoyo, Gedungan",69451,35,Jawa Timur,3529,Kab. Sumenep,Kec. Batuan,-7.036554,113.849328,Alih Bentuk,Baik,www.stkippgrisumenep.ac.id,6,4.500.000 - 4.500.000,1985-11-11
153022,STKIP Sinar Pancasila,STKIP SinarPancasila,,PTS,"Jln. Bakateu, No. 9 Betun",85762,53,Nusa Tenggara Timur,5321,Kab. Malaka,Kec. Malaka Tengah,-9.577958,124.9040232,Aktif,Baik,http://stkip-spb.ac.id,4,24 - 24.000.000,2013-04-26
212143,Institut Ahmad Dahlan Probolinggo,IAD Probolinggo,Institut,PTA,Jalan Mahakam Nomor 01 Desa Kedopok,67231,35,Jawa Timur,3513,Kab. Probolinggo,,-7.7916369,113.2079181,Aktif,Baik,https://iad.ac.id/,7,,2023-12-12
031083,Universitas Ary Ginanjar,UAG,Universitas,PTS,,,31,D.K.I. Jakarta,3174,Kota Jakarta Selatan,,-6.2904701,106.8096543,Aktif,Baik,https://uag.ac.id/,7,200.000 - 38.000.000,2024-02-01
063072,STIKES Muhammadiyah Klaten,Stikes Mukla,,PTS,Jl Jombor Indah Km 1 Klaten,57419,33,Jawa Tengah,3310,Kab. Klaten,,-7.7178719,110.6000267,Alih Bentuk,,stikesmukla.ac.id,5,,2005-09-12
044035,Akademi Maritim Suaka Bahari,,Akademi,PTS,Jalan Jenderal Sudirman No 156 Ciperna,45171,32,Jawa Barat,3209,Kab. Cirebon,,-6.7616402,108.5312054,Aktif,Baik,www.akmicirebon.ac.id,3,,1987-12-26
071036,Universitas Abdurachman Saleh,UNARS,Universitas,PTS,Jalan PB Sudirman No 7,68312,35,Jawa Timur,3512,Kab. Situbondo,Kec. Situbondo,-7.708532,113.994502,Alih Bentuk,,www.unars.ac.id,10,,1981-08-15
044041,Akademi Pariwisata Ars Internasional,,Akademi,PTS,Jl Sekolah Internasional No 1 Antapani,40282,32,Jawa Barat,3273,Kota Bandung,,,,Tutup,,,1,,1992-03-11
233324,STT Pelita Dunia Banten,STTPD,,PTA,Jl. Kelapa Gading Selatan Blok AH 10 No. 24 - 16 Gading Serpong,12310,36,Banten,3671,Kota Tangerang,Kec. Cibodas,-6.2229913,106.6186804,Aktif,Baik,www.sttpd.ac.id,3,1.500.000 - 1.500.000,2014-05-19
013161,Sekolah Tinggi Ilmu Kesehatan RS Haji Medan,STIKes RS Haji Medan,Sekolah Tinggi,PTS,Jl. RS. Haji Medan Estate - Medan Estate Kecamatan Percut Sei Tuan Kabupaten Del,20237,12,Sumatera Utara,1207,Kab. Deli Serdang,,3.613963,98.714434,Alih Bentuk,,https://www.stikesrshaji-medan.ac.id,6,,2008-12-23
081004,Universitas Pendidikan Nasional,Undiknas,Universitas,PTS,Jl. Bedugul No. 39 Sidakarya,80225,51,Bali,5171,Kota Denpasar,Kec. Denpasar Selatan,-8.69622,115.226383,Aktif,Unggul,http://www.undiknas.ac.id,26,7.000.000 - 22.000.000,1986-12-31
405024,Poltekkes Kemenkes Kalimantan Timur,Polkeskaltim,,PTKL,Jl. Kurnia Makmur No. 64 Samarinda,75123,64,Kalimantan Timur,6472,Kota Samarinda,,-0.5617099,117.1045804,Aktif,B,poltekkes-kaltim.ac.id,12,440.000 - 9.010.000,
044240,Akademi Manajemen Bisnis Bina Darma Swakarya,,Akademi,PTS,Jalan MH Thamrin No.9,,36,Banten,3671,Kota Tangerang,Kec. Tangerang,,,Tutup,,www.bds.ac.id,2,,2020-09-02
